,Creation Time,Latency,Arrival Time,Source,Destination,Block ID,QueueTime,TxTime,PropTime,Block Index
911,0.0,0.3920545398331269,0.3920545398331269,"Malaga, Spain",Mauritius,0_10_0,0.00028262924758237567,0.0054617192554031295,0.38631019133014116,0
170,0.00028262924758237567,0.247765154444062,0.24804778369164437,"Malaga, Spain",Mauritius,0_10_1,5.793095997460169e-05,0.0033745924279566706,0.2443326310561308,1
504,0.00028268915708501365,0.32414520860875895,0.32442789776584396,"Malaga, Spain",Mauritius,0_10_2,0.00018856381269194536,0.004354875375740417,0.31960176942032636,2
432,0.000471252969776959,0.3117423158852128,0.31221356885498974,"Malaga, Spain",Mauritius,0_10_3,8.312729473389425e-05,0.004339015678668708,0.3073201729118103,3
979,0.0005543802645108533,0.40375406322141216,0.40430844348592304,"Malaga, Spain",Mauritius,0_10_4,0.0002604552269293329,0.005401378144733069,0.3980922298497494,4
967,0.0006051251116893871,0.40202003047144175,0.4026251555831311,"Malaga, Spain",Mauritius,0_10_5,0.00014528420323768707,0.005305778296992183,0.3965689679712115,5
453,0.0007130817346981821,0.3151530993245968,0.315866181059295,"Malaga, Spain",Mauritius,0_10_6,0.0002759144274194189,0.004206195058312913,0.3106709898388643,6
66,0.0009351478165893609,0.19754835833889028,0.19848350615547963,"Malaga, Spain",Mauritius,0_10_7,0.0004053767652681137,0.0026399728977539254,0.1945030086758683,7
607,0.0013405245818574746,0.3412638213039645,0.34260434588582195,"Malaga, Spain",Mauritius,0_10_8,0.0006321495808150101,0.004688771301516036,0.33594290042163344,8
1358,0.0019459394793505018,0.47634769754685113,0.47829363702620165,"Malaga, Spain",Mauritius,0_10_9,4.3397079181568994e-05,0.006322804651807915,0.4699814958158612,9
1183,0.0019604843704766044,0.44019743599997563,0.4421579203704522,"Malaga, Spain",Mauritius,0_10_10,0.0007078228102400364,0.005955216049692844,0.43353439714004227,10
182,0.0025419109336645112,0.24927354672591123,0.25181545765957575,"Malaga, Spain",Mauritius,0_10_11,0.0002828833855057942,0.0032839020565369813,0.24570676128386848,11
22,0.0028247943191703055,0.1519842700256474,0.1548090643448177,"Malaga, Spain",Mauritius,0_10_12,0.0004284475364825387,0.0020692699509319134,0.149486552538233,12
177,0.003253241855652844,0.24643881379709087,0.24969205565274372,"Malaga, Spain",Mauritius,0_10_13,0.001910902120343748,0.0033575846778470552,0.24117032699890012,13
